Model,Reward,Deficiency,Export
DQN,3490329.1717780437,30727070.89147411,235947430.68468246
DQN,3604410.7477512844,30378591.17579084,240954619.71141604
DQN,3473021.5876866165,32273669.4273447,238175487.14841247
DQN,3413832.0488597215,31715317.449818283,234099557.40428367
DQN,3603836.8612469975,29863996.034231264,239896685.8511019
DQN,3524625.372856354,31833636.997119483,239875191.82211605
DQN,3434320.826657113,30635043.172821775,232964287.1464021
DQN,3426987.6234155428,31799908.074057933,234926555.76794425
DQN,3567520.3079979196,29586957.85324678,237526891.2163567
DQN,3488127.369900211,31787523.54115721,237958857.8885369
DQN,3493873.1627509417,31326759.609889146,237324623.24888754
DQN,3533343.0017894967,30346147.826770727,237336918.40513775
DQN,3606459.61182712,30807370.255555242,241914343.94756383
DQN,3535252.605959643,31033953.992873244,238807530.0814402
DQN,3558980.1778306444,31041465.59757264,240009201.76342848
DQN,3534641.6663217135,30057832.996592574,236825327.3337007
DQN,3581736.0619544866,31486071.428261448,242035992.84588182
DQN,3571397.4565349827,31137262.42047825,240821417.55069083
DQN,3583918.4503729255,30326095.505654328,239825094.05430096
DQN,3538001.9955031057,30383734.80721134,237644569.77762374
DQN,3567316.10227755,29425921.44560772,237194790.77584323
DQN,3667915.9744597995,29764442.211562358,242900636.4426719
DQN,3554249.195143166,30699558.26443191,239089092.9034563
DQN,3559279.7412248487,30425574.215366393,238792702.79833916
DQN,3599134.3967235107,29132756.771740336,238199248.98411217
DQN,3495464.9233223395,31293749.482942075,237338060.63360193
DQN,3601389.155596347,30094917.32681629,240236353.19890276
DQN,3486094.254083454,31287413.4002638,236856871.32340315
DQN,3397175.668487803,31835104.976669576,233506971.05289537
DQN,3631693.210538761,30653898.943471335,242869151.84327662
DQN,3512461.5114708706,31492285.516250104,238584742.75973624
DQN,3509737.027470508,32033185.68777439,239529813.4242236
DQN,3431357.239190341,32667655.249275506,236880872.75937727
DQN,3625560.0640976797,30151447.713906616,241557642.20468348
DQN,3646465.533154294,28789853.03069383,239880021.7615835
DQN,3512751.2213943847,29234520.277160153,234084686.64352626
DQN,3629686.4558484657,29770843.831051715,241002088.33143118
DQN,3458871.8823497277,30828910.887284398,234579085.6787784
DQN,3622741.703142909,29925890.292436108,240966164.3778283
DQN,3451249.2394732814,32552789.482775293,237645051.71809438
DQN,3593949.4768617293,30978574.28825123,241631755.4890155
DQN,3617655.9040205833,29455549.01682136,239770457.52642083
DQN,3511133.0612836783,31543535.281560414,238620737.47841695
DQN,3542981.692872475,30650906.163998123,238427974.5616412
DQN,3445550.997011574,30514316.850995295,233284188.70680225
DQN,3549591.327532277,30562810.637103137,238582042.58044928
DQN,3525416.606498704,31122108.863540716,238492637.19493145
DQN,3559258.139056998,31397422.28766585,240735128.22495165
DQN,3610212.67489496,29329192.657618,239146751.4076631
DQN,3437811.0145071046,32450797.0236058,236769561.8854625
DQN,3499448.8138569156,31571373.395530075,238092553.60319924
DQN,3600123.4409867404,30028453.917428076,240040032.13741168
DQN,3506636.46075812,30421628.38776011,236152802.3757751
DQN,3548935.9776712195,30927086.294147246,239278147.69303572
DQN,3596552.8972765347,29886087.198344808,239576159.48340172
DQN,3557794.780102898,29311929.239847273,236490987.98165873
DQN,3489983.5698446087,30980256.947528645,236437084.05376816
DQN,3587521.0865520844,29392010.43351857,238137067.3965045
DQN,3422700.5234768405,31055491.024019912,233223509.20937225
DQN,3609344.2841637866,29780665.760898426,240005254.64034462
DQN,3583671.243655461,30148721.897443887,239456988.714316
DQN,3574357.242287202,30765250.67767393,240225090.07332283
DQN,3554188.413420542,32495429.194690805,242676477.73603582
DQN,3638435.6717897686,30470102.532055132,242838205.43196547
PPO,3540228.6307259584,31405161.485743366,239798439.6813378
PPO,3560315.948748281,31180746.779103164,240354504.1085406
PPO,3513240.073770122,30605869.7035031,236851539.7623226
PPO,3546062.5913919597,30706815.30982718,238694223.1319836
PPO,3554232.2118388447,30429281.300991952,238547128.25978875
PPO,3545535.1981763225,30907002.18163909,239067876.06481406
PPO,3575869.7167511424,30107015.375172377,238984738.6686844
PPO,3594739.454060546,31127450.046903685,241968314.0011764
PPO,3629907.9284008057,28875924.13011218,239224502.52257502
PPO,3588856.9977561794,30398768.723191816,240217644.7014127
PPO,3558793.693119776,30732307.405189797,239381887.21642983
PPO,3615395.26906167,30791427.92508422,242329188.46877456
PPO,3613774.3042195705,30956591.19324139,242578422.68564853
PPO,3607760.902842734,29240306.855538473,238845795.57064068
PPO,3614870.7572601675,31235569.817900546,243190769.808164
PPO,3596814.483273192,30766830.85945399,241351432.17395124
PPO,3475773.471527792,31845964.83837822,237458193.00377822
PPO,3593744.255064701,31339924.100780614,242343618.9289553
PPO,3616303.741174375,29795933.173802108,240383860.93268532
PPO,3511846.1169395447,31483846.88972342,238537113.25408247
PPO,3595007.513233306,29081996.834072478,237891956.2305531
PPO,3706243.613993372,29132578.026377745,243553941.5332916
PPO,3419202.939619522,31570090.250775672,234078266.54169187
PPO,3601599.073412932,28515065.17622085,237088153.9126591
PPO,3590235.6586933965,30188517.694480248,239865592.8510476
PPO,3592456.2422143784,31528113.85827817,242655335.08457023
PPO,3463917.2106306814,31345076.68932413,235864162.44376522
PPO,3543984.991600939,31676058.302285857,240527731.90416813
PPO,3564147.490404124,31615437.590518136,241415295.0297127
PPO,3490607.3956470857,31763425.632368777,238035025.4075612
PPO,3567580.3938569445,30948663.353267677,240253115.0151553
PPO,3382985.9032916767,33238880.063043114,235605064.8363861
PPO,3470134.3479684563,31621205.807323154,236727100.38342857
PPO,3621820.117400567,30947031.450605884,242961403.41406006
PPO,3647509.273972442,28478667.983544543,239310113.96514508
PPO,3548810.139675874,30516226.99693237,238449983.62204757
PPO,3534299.721160533,31166915.188181113,239025609.65835086
PPO,3616241.7082813806,29857253.470642217,240503522.77412716
PPO,3475984.8011662834,33012564.012187593,239801411.14485162
PPO,3507468.427581713,30480663.069009174,236312114.91042426
PPO,3608188.9921664316,29973029.788675748,240332327.98873496
PPO,3532267.255345466,32376817.466358915,241343638.13194412
PPO,3522296.927359761,29190089.39128696,234473239.3787624
PPO,3461589.48413523,32684638.140973736,238426074.68405986
PPO,3616627.9593994822,29742423.63574464,240293177.76756015
PPO,3521719.117434822,31212077.707058564,238487570.36823142
PPO,3518203.3559812144,31253363.785582274,238394323.62074932
PPO,3490677.499681351,32287599.490760185,239086453.50312865
PPO,3614603.68308515,30188154.411083974,241083157.4672216
