Reward,Demand_Satisfaction_Pct,Total_Deficit_Tonnes,Total_Surplus_Tonnes,Export_Revenue_EUR,Import_Cost_EUR,Net_Economic_EUR,Land_Utilization_Pct,Crop_Diversity_Index,Adverse_Weather_Ratio,Model,Seed
816345.8720177824,33.33333333333333,21219.712236131058,254981829.7757849,81594185528.25117,5898326.472937475,81588287201.77824,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,73176
819672.6059919386,33.33333333333333,20589.3291474747,256020002.6649751,81926400852.79204,5640253.598168476,81920760599.19386,33.33333333333333,2.1015654901674843,0.32710280373831774,DQN,9465
815916.8717637679,33.33333333333333,21382.20640368105,254844540.6830948,81550253018.59033,5865842.213540496,81544387176.37679,33.33333333333333,2.1015654901674843,0.2897196261682243,DQN,43525
815030.5071998398,33.33333333333333,22044.130824506312,254570087.35718453,81462427954.29904,6077234.315057235,81456350719.98398,33.33333333333333,2.1015654901674843,0.3177570093457944,DQN,74249
819447.3887821219,33.33333333333333,20802.240749672637,255947671.23874775,81903254796.39928,5815918.187087892,81897438878.21219,33.33333333333333,2.1015654901674843,0.2897196261682243,DQN,10668
808705.4262482033,33.33333333333333,19659.505005308183,252592262.5856444,80829524027.4062,5481402.585878897,80824042624.82033,33.33333333333333,2.1015654901674843,0.32710280373831774,DQN,50586
802453.2546666077,33.33333333333333,21026.901195231367,250642762.39028737,80205683964.89195,5858498.231179748,80199825466.66077,33.33333333333333,2.1015654901674843,0.37383177570093457,DQN,49756
824805.3018989316,33.33333333333333,20878.02822802516,257620836.35262668,82438667632.84055,5837442.947384678,82432830189.89316,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,7339
812273.2467947747,33.33333333333333,21784.70027759358,253707968.2883687,81186549852.27798,6125172.800526579,81180424679.47746,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,95540
822444.4987696202,33.33333333333333,22367.031727259688,256882906.71800575,82202530149.76184,6180272.799817434,82196349876.96202,33.33333333333333,2.1015654901674843,0.2523364485981308,DQN,37002
812780.4093468456,33.33333333333333,21694.805062031446,253868101.35112453,81237792432.35985,6051497.675299322,81231740934.68456,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,27260
823819.3148839212,33.33333333333333,20933.670513978,257313120.3573276,82340198514.34483,5767025.952719117,82334431488.39212,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,8903
819201.6200255641,33.33333333333333,19525.2932557866,255869025.3683393,81878088117.86858,5426115.312160539,81872662002.55641,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,5287
802656.354803093,33.33333333333333,20911.26270307828,250707363.11542168,80226356196.93494,5820716.625639656,80220535480.3093,33.33333333333333,2.1015654901674843,0.3925233644859813,DQN,19618
