region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha
Pays de la Loire,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,708.76,pays de la loire,708760.0
Pays de la Loire,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,679.89,pays de la loire,679890.0
Pays de la Loire,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,655.13,pays de la loire,655130.0
Pays de la Loire,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,597.1,pays de la loire,597100.0
Bretagne,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,587.33,bretagne,587330.0
Bretagne,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,588.26,bretagne,588260.0
Bretagne,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,573.9,bretagne,573900.0
Bretagne,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,561.46,bretagne,561460.0
Bretagne,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,584.32,bretagne,584320.0
Bretagne,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,576.82,bretagne,576820.0
Bretagne,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,601.09,bretagne,601090.0
Bretagne,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,588.75,bretagne,588750.0
Bretagne,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,570.83,bretagne,570830.0
Bretagne,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,576.57,bretagne,576570.0
Nouvelle-Aquitaine,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1352.95,nouvelle-aquitaine,1352950.0
Nouvelle-Aquitaine,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1342.02,nouvelle-aquitaine,1342020.0
Nouvelle-Aquitaine,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1284.05,nouvelle-aquitaine,1284050.0
